Designator,Footprint,Quantity,Value,LCSC Part #
BZ1,Buzzer_12x9.5RM7.6,1,Buzzer,C96093
"C1, C2, C3, C4, C5",0402,5,100nF,C155422
CN1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB,C165948
CN2,"PhoenixContact_MSTBA_2,5_2-G-5,08_1x02_P5.08mm_Horizontal",1,Can,C441204
CN3,PinHeader_1x04_P2.54mm_Vertical,1,Can,C2905435
CN4,PinSocket_1x06_P2.54mm_Vertical,1,RTC,C40877
CN5,"PhoenixContact_MSTBA_2,5_2-G-5,08_1x02_P5.08mm_Horizontal",1,RS485,C441204
CN6,PinHeader_1x04_P2.54mm_Vertical,1,485,C2905435
CN7,PinSocket_1x04_P2.54mm_Vertical,1,BME,C2718488
CN8,PinHeader_1x04_P2.54mm_Vertical,1,SWD,
D1,D_SMA,1,D_Schottky,C412514
JP1,PinHeader_1x02_P2.54mm_Vertical,1,CAN Term,C5360898
JP2,PinHeader_1x02_P2.54mm_Vertical,1,RS485 Term,C5360898
JP3,PinHeader_1x02_P2.54mm_Vertical,1,USB pwr,C5360898
"LD1, LD2, LD3, LD4, LD5, LD6",0603,6,O1_G,C12624
"LD10, LD12",0603,2,Tx,C12624
"LD11, LD9",0603,2,Rx,C12624
LD7,0603,1,3v3,C2286
LD8,0603,1,5v,C2286
MODULE1A,YAAJ_BluePill_SWD_1,1,YAAJ_BluePill_Part_Like_SWD_Breakout,C2905423
MODULE1B,YAAJ_BluePill_SWD_1,1,YAAJ_BluePill_Part_Like_SWD_Breakout,C2905423
OLED1,MODULE_DM-OLED096-636,1,OLED,C5248080
Q1,SOT-23,1,SS8050,
"R1, R12, R13, R19, R22, R24, R26, R3, R7",0402,9,10k,C174175
"R10, R11, R17, R18, R2, R20, R21, R23, R27, R28, R4, R6, R9",0402,13,1k,C140196
"R14, R15",0603,2,2.2k,
"R16, R25",0603,2,120,C177328
"R5, R8",0402,2,5.1k,C25905
RV1,Potentiometer_Bourns_3386P_Vertical,1,Tr,C116303
"SW1, SW2, SW3, SW4",SW_SPST_PTS810,4,Usr1,C221895
U1,JEITA_SOIC-8_3.9x4.9mm_P1.27mm,1,CH340N,C2977777
U2,SOIC-8_3.9x4.9mm_P1.27mm,1,M95512-WMN6TP,C7567
U3,SOIC-8_3.9x4.9mm_P1.27mm,1,TJA1051T-3,C38695
U5,SOIC-8_3.9x4.9mm_P1.27mm,1,LM35-D,C2683367
U6,SOIC-8_3.9x4.9mm_P1.27mm,1,MAX3485EESA+T,C9943
